channel_1,wifi_name_1,speed_1,channel_2,wifi_name_2,speed_2,channel_3,wifi_name_3,speed_3,channel_4,wifi_name_4,speed_4
1~3,L_Technology_F920(~2m) ,52,1~3,L_Technology_F920(~6m),47 31,1~3,"L_Technology_F920(~3m), L_Technology_F900(~28m)",47 31,1~3,"L_Technology_F920(~6m), L_Technology_F900(~31m), L_Technology_31A0(~70m)",44 30 23
4~7,L_Technology_B3C0(~139m) ,17,4~7,L_Technology_B3C0(~10m),40,4~7,L_Technology_B3C0 (~28m),31,4~7,L_Technology_B3C0 (~62m),24
8~10,Null,Null,8~10,Null,Null,8~10,Null,Null,8~10,Null,Null
11~14,"L_Technolgy_6F80(~2m), L_Technolog_FBA0(~19m)",56 34,11~14,"L_Technology_6F80(~2m), L_Technology_FBA0(~14m)",56 37,11~14,"L_Technology_6F80(~4m), L_Technology_FBA0(~14m)",48 37,11~14,"L_Technology_6F80(~2m), L_Technology_FBA0(~11m)",55 39
36~50,L_Technology_F930(~23m) L_Technology_FBB0(~41m),26 21,36~50,L_Technology_F930(~13m) L_Technology_FBB0(~41m),31 21,36~50,L_Technology_F930(~18m) L_Technology_FBB0(~37m),28 22,36~50,L_Technology_F930(~33m) L_Technology_FBB0(~41m),23 21
50~64,"L_Technology_3650(~29m), L_Technology_B3D0(~143m)",24 10,51~64,Null,Null,51~64,Null,Null,51~64,Null,Null
100~115,L_Technology_6F90(~2m),49,100~115,L_Technology_6F90(~2m),49,100~115,L_Technology_6F90(~5m),39,100~115,L_Technology_6F90(~2m),46
116~148,Null,Null,116~148,Null,Null,116~148,Null,Null,116~148,Null,Null
149~165,"L_Technoogy_F910(~5m), L_Technology_6E90(~59m)",39 17,149~165,"L_Technology_F910(~19m), L_Technology_FB90(~83m)",27 14,149~165,"L_Technology_F910(~13m), L_Technology_FB90(~66m)",30 16,149~165,L_Technology_F910(~19m),27
,,,,,,149~157,wi_gen(~93m),13,149~157,wi_gen(~47m),19
